uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"41b9c3c0-e6c1-46ff-b299-07e73caac687","KONZ_002.tickPlot.tck","D06","KONZ","KONZ_002","distributed","grasslandHerbaceous",39.118977,-96.547146,"WGS84",20.0,394.4,0.0,"2017-09-12T14:34Z","KONZ.2017.38","KONZ_002.20170912",,"drag and flag",160,"Y",0,0,4,"No known compromise","NEON.DOC.014045vH","0QknftH/249Fzeup5XgxDmRFrswKMEXrpdiqA+dT0Pw=",
"ee162310-d59e-458e-83bc-6466c29be199","KONZ_004.tickPlot.tck","D06","KONZ","KONZ_004","distributed","grasslandHerbaceous",39.109647,-96.551370,"WGS84",20.0,371.9,0.0,"2017-09-12T15:30Z","KONZ.2017.38","KONZ_004.20170912",,"drag",160,"Y",0,0,1,"No known compromise","NEON.DOC.014045vH","0QknftH/249Fzeup5XgxDmRFrswKMEXrpdiqA+dT0Pw=",
"1c487b35-1bb0-495a-97bd-735fe9e27e4e","KONZ_007.tickPlot.tck","D06","KONZ","KONZ_007","distributed","grasslandHerbaceous",39.087937,-96.545919,"WGS84",20.1,434.0,0.1,"2017-09-12T16:25Z","KONZ.2017.38",,,"drag and flag",160,"N",0,0,0,"No known compromise","NEON.DOC.014045vH","0QknftH/249Fzeup5XgxDmRFrswKMEXrpdiqA+dT0Pw=",
"fec7ae4f-3b3e-40b2-8b26-ef31ba44d808","KONZ_001.tickPlot.tck","D06","KONZ","KONZ_001","distributed","grasslandHerbaceous",39.074114,-96.557107,"WGS84",20.0,423.7,0.0,"2017-09-12T17:16Z","KONZ.2017.38",,,"drag and flag",160,"N",0,0,0,"No known compromise","NEON.DOC.014045vH","0QknftH/249Fzeup5XgxDmRFrswKMEXrpdiqA+dT0Pw=",
"46ffcbb1-1737-4eb0-aaa5-d94fc29faa52","KONZ_009.tickPlot.tck","D06","KONZ","KONZ_009","distributed","grasslandHerbaceous",39.107902,-96.584438,"WGS84",20.1,391.9,0.1,"2017-09-12T18:47Z","KONZ.2017.38",,,"drag and flag",160,"N",0,0,0,"No known compromise","NEON.DOC.014045vH","0QknftH/249Fzeup5XgxDmRFrswKMEXrpdiqA+dT0Pw=",
"b30c024e-6a4e-4bbe-b88e-6d566ee92d1a","KONZ_025.tickPlot.tck","D06","KONZ","KONZ_025","distributed","deciduousForest",39.103714,-96.597832,"WGS84",20.1,337.3,0.1,"2017-09-12T19:54Z","KONZ.2017.38","KONZ_025.20170912",,"drag and flag",160,"Y",0,3,358,"No known compromise","NEON.DOC.014045vH","0QknftH/249Fzeup5XgxDmRFrswKMEXrpdiqA+dT0Pw=",
